date,ICE_unscaled,ICE_monthly,isPartial,scale,ICE
2016-05-01,75,63.0,False,0.63,47.25
2016-05-02,56,63.0,,0.63,35.28
2016-05-03,53,63.0,,0.63,33.39
2016-05-04,52,63.0,,0.63,32.76
2016-05-05,52,63.0,,0.63,32.76
2016-05-06,56,63.0,,0.63,35.28
2016-05-07,63,63.0,,0.63,39.69
2016-05-08,70,63.0,,0.63,44.1
2016-05-09,59,63.0,,0.63,37.17
2016-05-10,57,63.0,,0.63,35.910000000000004
2016-05-11,56,63.0,,0.63,35.28
2016-05-12,57,63.0,,0.63,35.910000000000004
2016-05-13,56,63.0,,0.63,35.28
2016-05-14,68,63.0,,0.63,42.84
2016-05-15,77,63.0,,0.63,48.51
2016-05-16,60,63.0,,0.63,37.8
2016-05-17,53,63.0,,0.63,33.39
2016-05-18,54,63.0,,0.63,34.02
2016-05-19,58,63.0,,0.63,36.54
2016-05-20,57,63.0,,0.63,35.910000000000004
2016-05-21,68,63.0,,0.63,42.84
2016-05-22,78,63.0,,0.63,49.14
2016-05-23,63,63.0,,0.63,39.69
2016-05-24,61,63.0,,0.63,38.43
2016-05-25,61,63.0,,0.63,38.43
2016-05-26,65,63.0,,0.63,40.95
2016-05-27,69,63.0,,0.63,43.47
2016-05-28,84,63.0,,0.63,52.92
2016-05-29,100,63.0,,0.63,63.0
2016-05-30,95,63.0,,0.63,59.85
2016-05-31,70,63.0,,0.63,44.1
2016-06-01,63,69.0,False,0.69,43.47
2016-06-02,67,69.0,,0.69,46.23
2016-06-03,65,69.0,,0.69,44.849999999999994
2016-06-04,78,69.0,,0.69,53.81999999999999
2016-06-05,82,69.0,,0.69,56.58
2016-06-06,67,69.0,,0.69,46.23
2016-06-07,70,69.0,,0.69,48.3
2016-06-08,59,69.0,,0.69,40.709999999999994
2016-06-09,61,69.0,,0.69,42.089999999999996
2016-06-10,69,69.0,,0.69,47.61
2016-06-11,78,69.0,,0.69,53.81999999999999
2016-06-12,88,69.0,,0.69,60.72
2016-06-13,69,69.0,,0.69,47.61
2016-06-14,66,69.0,,0.69,45.54
2016-06-15,73,69.0,,0.69,50.37
2016-06-16,69,69.0,,0.69,47.61
2016-06-17,74,69.0,,0.69,51.059999999999995
2016-06-18,92,69.0,,0.69,63.48
2016-06-19,100,69.0,,0.69,69.0
2016-06-20,79,69.0,,0.69,54.51
2016-06-21,74,69.0,,0.69,51.059999999999995
2016-06-22,70,69.0,,0.69,48.3
2016-06-23,70,69.0,,0.69,48.3
2016-06-24,70,69.0,,0.69,48.3
2016-06-25,92,69.0,,0.69,63.48
2016-06-26,98,69.0,,0.69,67.61999999999999
2016-06-27,77,69.0,,0.69,53.129999999999995
2016-06-28,74,69.0,,0.69,51.059999999999995
2016-06-29,73,69.0,,0.69,50.37
2016-06-30,73,69.0,,0.69,50.37
2016-07-01,42,82.0,False,0.82,34.44
2016-07-02,52,82.0,,0.82,42.64
2016-07-03,58,82.0,,0.82,47.559999999999995
2016-07-04,58,82.0,,0.82,47.559999999999995
2016-07-05,41,82.0,,0.82,33.62
2016-07-06,38,82.0,,0.82,31.159999999999997
2016-07-07,39,82.0,,0.82,31.979999999999997
2016-07-08,38,82.0,,0.82,31.159999999999997
2016-07-09,47,82.0,,0.82,38.54
2016-07-10,51,82.0,,0.82,41.82
2016-07-11,39,82.0,,0.82,31.979999999999997
2016-07-12,39,82.0,,0.82,31.979999999999997
2016-07-13,39,82.0,,0.82,31.979999999999997
2016-07-14,40,82.0,,0.82,32.8
2016-07-15,46,82.0,,0.82,37.72
2016-07-16,51,82.0,,0.82,41.82
2016-07-17,100,82.0,,0.82,82.0
2016-07-18,60,82.0,,0.82,49.199999999999996
2016-07-19,48,82.0,,0.82,39.36
2016-07-20,46,82.0,,0.82,37.72
2016-07-21,45,82.0,,0.82,36.9
2016-07-22,52,82.0,,0.82,42.64
2016-07-23,65,82.0,,0.82,53.3
2016-07-24,63,82.0,,0.82,51.66
2016-07-25,46,82.0,,0.82,37.72
2016-07-26,45,82.0,,0.82,36.9
2016-07-27,44,82.0,,0.82,36.08
2016-07-28,44,82.0,,0.82,36.08
2016-07-29,45,82.0,,0.82,36.9
2016-07-30,56,82.0,,0.82,45.919999999999995
2016-07-31,61,82.0,,0.82,50.019999999999996
2016-08-01,94,67.0,False,0.67,62.980000000000004
2016-08-02,90,67.0,,0.67,60.300000000000004
2016-08-03,90,67.0,,0.67,60.300000000000004
2016-08-04,82,67.0,,0.67,54.940000000000005
2016-08-05,84,67.0,,0.67,56.28
2016-08-06,91,67.0,,0.67,60.970000000000006
2016-08-07,100,67.0,,0.67,67.0
2016-08-08,70,67.0,,0.67,46.900000000000006
2016-08-09,67,67.0,,0.67,44.89
2016-08-10,61,67.0,,0.67,40.870000000000005
2016-08-11,71,67.0,,0.67,47.57
2016-08-12,72,67.0,,0.67,48.24
2016-08-13,86,67.0,,0.67,57.620000000000005
2016-08-14,92,67.0,,0.67,61.64
2016-08-15,70,67.0,,0.67,46.900000000000006
2016-08-16,66,67.0,,0.67,44.220000000000006
2016-08-17,61,67.0,,0.67,40.870000000000005
2016-08-18,65,67.0,,0.67,43.550000000000004
2016-08-19,67,67.0,,0.67,44.89
2016-08-20,80,67.0,,0.67,53.6
2016-08-21,82,67.0,,0.67,54.940000000000005
2016-08-22,62,67.0,,0.67,41.54
2016-08-23,62,67.0,,0.67,41.54
2016-08-24,62,67.0,,0.67,41.54
2016-08-25,66,67.0,,0.67,44.220000000000006
2016-08-26,69,67.0,,0.67,46.230000000000004
2016-08-27,93,67.0,,0.67,62.31
2016-08-28,100,67.0,,0.67,67.0
2016-08-29,76,67.0,,0.67,50.92
2016-08-30,72,67.0,,0.67,48.24
2016-08-31,66,67.0,,0.67,44.220000000000006
2016-09-01,63,62.0,False,0.62,39.06
2016-09-02,72,62.0,,0.62,44.64
2016-09-03,91,62.0,,0.62,56.42
2016-09-04,100,62.0,,0.62,62.0
2016-09-05,95,62.0,,0.62,58.9
2016-09-06,64,62.0,,0.62,39.68
2016-09-07,58,62.0,,0.62,35.96
2016-09-08,57,62.0,,0.62,35.339999999999996
2016-09-09,70,62.0,,0.62,43.4
2016-09-10,84,62.0,,0.62,52.08
2016-09-11,86,62.0,,0.62,53.32
2016-09-12,61,62.0,,0.62,37.82
2016-09-13,87,62.0,,0.62,53.94
2016-09-14,62,62.0,,0.62,38.44
2016-09-15,58,62.0,,0.62,35.96
2016-09-16,64,62.0,,0.62,39.68
2016-09-17,78,62.0,,0.62,48.36
2016-09-18,89,62.0,,0.62,55.18
2016-09-19,63,62.0,,0.62,39.06
2016-09-20,71,62.0,,0.62,44.02
2016-09-21,65,62.0,,0.62,40.3
2016-09-22,65,62.0,,0.62,40.3
2016-09-23,66,62.0,,0.62,40.92
2016-09-24,76,62.0,,0.62,47.12
2016-09-25,85,62.0,,0.62,52.7
2016-09-26,62,62.0,,0.62,38.44
2016-09-27,74,62.0,,0.62,45.88
2016-09-28,59,62.0,,0.62,36.58
2016-09-29,57,62.0,,0.62,35.339999999999996
2016-09-30,62,62.0,,0.62,38.44
2016-10-01,89,61.0,False,0.61,54.29
2016-10-02,86,61.0,,0.61,52.46
2016-10-03,61,61.0,,0.61,37.21
2016-10-04,63,61.0,,0.61,38.43
2016-10-05,65,61.0,,0.61,39.65
2016-10-06,64,61.0,,0.61,39.04
2016-10-07,74,61.0,,0.61,45.14
2016-10-08,89,61.0,,0.61,54.29
2016-10-09,89,61.0,,0.61,54.29
2016-10-10,74,61.0,,0.61,45.14
2016-10-11,69,61.0,,0.61,42.089999999999996
2016-10-12,68,61.0,,0.61,41.48
2016-10-13,66,61.0,,0.61,40.26
2016-10-14,70,61.0,,0.61,42.699999999999996
2016-10-15,85,61.0,,0.61,51.85
2016-10-16,90,61.0,,0.61,54.9
2016-10-17,71,61.0,,0.61,43.31
2016-10-18,63,61.0,,0.61,38.43
2016-10-19,64,61.0,,0.61,39.04
2016-10-20,77,61.0,,0.61,46.97
2016-10-21,74,61.0,,0.61,45.14
2016-10-22,92,61.0,,0.61,56.12
2016-10-23,100,61.0,,0.61,61.0
2016-10-24,77,61.0,,0.61,46.97
2016-10-25,80,61.0,,0.61,48.8
2016-10-26,81,61.0,,0.61,49.41
2016-10-27,86,61.0,,0.61,52.46
2016-10-28,87,61.0,,0.61,53.07
2016-10-29,97,61.0,,0.61,59.17
2016-10-30,97,61.0,,0.61,59.17
2016-10-31,73,61.0,,0.61,44.53
2016-11-01,57,71.0,False,0.71,40.47
2016-11-02,60,71.0,,0.71,42.599999999999994
2016-11-03,58,71.0,,0.71,41.18
2016-11-04,65,71.0,,0.71,46.15
2016-11-05,84,71.0,,0.71,59.64
2016-11-06,84,71.0,,0.71,59.64
2016-11-07,64,71.0,,0.71,45.44
2016-11-08,59,71.0,,0.71,41.89
2016-11-09,41,71.0,,0.71,29.11
2016-11-10,65,71.0,,0.71,46.15
2016-11-11,69,71.0,,0.71,48.989999999999995
2016-11-12,87,71.0,,0.71,61.769999999999996
2016-11-13,92,71.0,,0.71,65.32
2016-11-14,64,71.0,,0.71,45.44
2016-11-15,64,71.0,,0.71,45.44
2016-11-16,69,71.0,,0.71,48.989999999999995
2016-11-17,76,71.0,,0.71,53.959999999999994
2016-11-18,78,71.0,,0.71,55.379999999999995
2016-11-19,90,71.0,,0.71,63.9
2016-11-20,95,71.0,,0.71,67.45
2016-11-21,80,71.0,,0.71,56.8
2016-11-22,79,71.0,,0.71,56.089999999999996
2016-11-23,86,71.0,,0.71,61.059999999999995
2016-11-24,81,71.0,,0.71,57.51
2016-11-25,86,71.0,,0.71,61.059999999999995
2016-11-26,100,71.0,,0.71,71.0
2016-11-27,99,71.0,,0.71,70.28999999999999
2016-11-28,76,71.0,,0.71,53.959999999999994
2016-11-29,74,71.0,,0.71,52.54
2016-11-30,80,71.0,,0.71,56.8
2016-12-01,37,100.0,False,1.0,37.0
2016-12-02,35,100.0,,1.0,35.0
2016-12-03,47,100.0,,1.0,47.0
2016-12-04,47,100.0,,1.0,47.0
2016-12-05,36,100.0,,1.0,36.0
2016-12-06,34,100.0,,1.0,34.0
2016-12-07,40,100.0,,1.0,40.0
2016-12-08,42,100.0,,1.0,42.0
2016-12-09,41,100.0,,1.0,41.0
2016-12-10,51,100.0,,1.0,51.0
2016-12-11,50,100.0,,1.0,50.0
2016-12-12,39,100.0,,1.0,39.0
2016-12-13,38,100.0,,1.0,38.0
2016-12-14,41,100.0,,1.0,41.0
2016-12-15,40,100.0,,1.0,40.0
2016-12-16,41,100.0,,1.0,41.0
2016-12-17,63,100.0,,1.0,63.0
2016-12-18,59,100.0,,1.0,59.0
2016-12-19,45,100.0,,1.0,45.0
2016-12-20,45,100.0,,1.0,45.0
2016-12-21,48,100.0,,1.0,48.0
2016-12-22,49,100.0,,1.0,49.0
2016-12-23,52,100.0,,1.0,52.0
2016-12-24,58,100.0,,1.0,58.0
2016-12-25,59,100.0,,1.0,59.0
2016-12-26,63,100.0,,1.0,63.0
2016-12-27,60,100.0,,1.0,60.0
2016-12-28,63,100.0,,1.0,63.0
2016-12-29,70,100.0,,1.0,70.0
2016-12-30,96,100.0,,1.0,96.0
2016-12-31,100,100.0,,1.0,100.0
2017-01-01,93,80.0,False,0.8,74.4
2017-01-02,82,80.0,,0.8,65.60000000000001
2017-01-03,63,80.0,,0.8,50.400000000000006
2017-01-04,63,80.0,,0.8,50.400000000000006
2017-01-05,64,80.0,,0.8,51.2
2017-01-06,71,80.0,,0.8,56.800000000000004
2017-01-07,92,80.0,,0.8,73.60000000000001
2017-01-08,93,80.0,,0.8,74.4
2017-01-09,65,80.0,,0.8,52.0
2017-01-10,60,80.0,,0.8,48.0
2017-01-11,61,80.0,,0.8,48.800000000000004
2017-01-12,71,80.0,,0.8,56.800000000000004
2017-01-13,80,80.0,,0.8,64.0
2017-01-14,100,80.0,,0.8,80.0
2017-01-15,96,80.0,,0.8,76.80000000000001
2017-01-16,75,80.0,,0.8,60.0
2017-01-17,61,80.0,,0.8,48.800000000000004
2017-01-18,58,80.0,,0.8,46.400000000000006
2017-01-19,55,80.0,,0.8,44.0
2017-01-20,55,80.0,,0.8,44.0
2017-01-21,71,80.0,,0.8,56.800000000000004
2017-01-22,73,80.0,,0.8,58.400000000000006
2017-01-23,55,80.0,,0.8,44.0
2017-01-24,51,80.0,,0.8,40.800000000000004
2017-01-25,53,80.0,,0.8,42.400000000000006
2017-01-26,54,80.0,,0.8,43.2
2017-01-27,56,80.0,,0.8,44.800000000000004
2017-01-28,75,80.0,,0.8,60.0
2017-01-29,76,80.0,,0.8,60.800000000000004
2017-01-30,55,80.0,,0.8,44.0
2017-01-31,55,80.0,,0.8,44.0
2017-02-01,54,72.0,False,0.72,38.879999999999995
2017-02-02,58,72.0,,0.72,41.76
2017-02-03,64,72.0,,0.72,46.08
2017-02-04,82,72.0,,0.72,59.04
2017-02-05,71,72.0,,0.72,51.12
2017-02-06,48,72.0,,0.72,34.56
2017-02-07,53,72.0,,0.72,38.16
2017-02-08,53,72.0,,0.72,38.16
2017-02-09,55,72.0,,0.72,39.6
2017-02-10,66,72.0,,0.72,47.519999999999996
2017-02-11,100,72.0,,0.72,72.0
2017-02-12,94,72.0,,0.72,67.67999999999999
2017-02-13,63,72.0,,0.72,45.36
2017-02-14,58,72.0,,0.72,41.76
2017-02-15,62,72.0,,0.72,44.64
2017-02-16,66,72.0,,0.72,47.519999999999996
2017-02-17,69,72.0,,0.72,49.68
2017-02-18,82,72.0,,0.72,59.04
2017-02-19,83,72.0,,0.72,59.76
2017-02-20,67,72.0,,0.72,48.239999999999995
2017-02-21,59,72.0,,0.72,42.48
2017-02-22,57,72.0,,0.72,41.04
2017-02-23,59,72.0,,0.72,42.48
2017-02-24,63,72.0,,0.72,45.36
2017-02-25,75,72.0,,0.72,54.0
2017-02-26,69,72.0,,0.72,49.68
2017-02-27,49,72.0,,0.72,35.28
2017-02-28,50,72.0,,0.72,36.0
2017-03-01,68,67.0,False,0.67,45.56
2017-03-02,73,67.0,,0.67,48.910000000000004
2017-03-03,77,67.0,,0.67,51.59
2017-03-04,93,67.0,,0.67,62.31
2017-03-05,93,67.0,,0.67,62.31
