,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-04,1,0.0021668611435239206,-0.3500175008750437,SO,50.31999969482422,51.540000915527344,50.31999969482422,51.36000061035156,39.16739654541016,6279400,,
1,2016-05-10,1,0.0021668611435239206,0.0,SO,50.0099983215332,50.33000183105469,49.650001525878906,50.13999938964844,38.23701858520508,6568700,-1.2099990844726562,-0.02347689295651767
2,2016-05-12,1,0.0021668611435239206,0.0,SO,49.7599983215332,50.33000183105469,49.34000015258789,50.15999984741211,38.682762145996094,5412500,0.0,0.0
3,2016-05-26,1,0.0021668611435239206,0.0,SO,48.470001220703125,49.25,48.470001220703125,49.220001220703125,37.95783996582031,3309600,-1.0800018310546875,-0.021458410327104382
4,2016-05-31,1,0.0021668611435239206,0.0,SO,48.95000076293945,49.43999862670898,48.84000015258789,49.43999862670898,38.12750625610352,7286700,0.18999862670897727,0.003857840136222812
5,2016-06-09,1,0.0021668611435239206,0.0,SO,50.40999984741211,50.93000030517578,50.38999938964844,50.86000061035156,39.22259140014648,3642000,1.490001678466804,0.030137575239774783
6,2016-06-10,2,0.003333722287047841,0.5385029617662898,SO,50.70000076293945,51.22999954223633,50.70000076293945,51.11000061035156,39.41539001464844,5303600,0.2999992370605469,0.0058904228404266235
7,2016-06-15,1,0.0021668611435239206,0.0,SO,51.33000183105469,51.400001525878906,50.709999084472656,50.880001068115234,39.23802185058594,4478000,0.17000198364257812,0.0033184068936487066
8,2016-06-16,1,0.0021668611435239206,0.0,SO,50.91999816894531,51.220001220703125,50.7400016784668,51.060001373291016,39.376834869384766,4323300,-0.18000030517578125,-0.00350195135860365
9,2016-06-20,1,0.0021668611435239206,0.0,SO,51.0,51.150001525878906,50.41999816894531,50.93999862670898,39.28428268432617,5473700,-0.06999969482421875,-0.0013666476602098854
10,2016-06-21,1,0.0021668611435239206,0.0,SO,50.9900016784668,51.220001220703125,50.68000030517578,50.900001525878906,39.25344467163086,3472000,0.06999969482421875,0.0013685179420532823
11,2016-06-22,0,0.001,-0.5385029617662898,SO,50.97999954223633,51.06999969482422,50.72999954223633,50.84999847412109,39.21487808227539,3022900,-0.15000152587890625,-0.0029285732585706548
12,2016-06-23,1,0.0021668611435239206,1.1668611435239207,SO,50.88999938964844,51.06999969482422,50.63999938964844,51.060001373291016,39.376834869384766,4063400,0.0,0.0
13,2016-06-24,1,0.0021668611435239206,0.0,SO,50.75,51.68999862670898,50.630001068115234,51.18999862670898,39.47708511352539,10508200,0.6199989318847585,0.012140178883682129
14,2016-06-27,1,0.0021668611435239206,0.0,SO,51.2400016784668,52.34999847412109,51.15999984741211,52.20000076293945,40.255985260009766,9457200,0.6599998474121094,0.012768424549175261
15,2016-06-28,3,0.004500583430571762,1.0770059235325795,SO,52.060001373291016,52.459999084472656,51.61000061035156,52.310001373291016,40.34081268310547,8531400,0.1100006103515696,0.0021012533630913044
16,2016-06-29,1,0.0021668611435239206,-0.5185377236193933,SO,52.400001525878906,52.5,52.040000915527344,52.220001220703125,40.27140045166016,5943500,0.04000091552734375,0.0007625031686129269
17,2016-07-01,1,0.0021668611435239206,0.0,SO,53.75,53.95000076293945,53.02999877929688,53.83000183105469,41.51301574707031,6238600,1.4500007629394531,0.02761906215122778
18,2016-07-05,2,0.003333722287047841,0.5385029617662898,SO,53.79999923706055,54.41999816894531,53.79999923706055,54.25,41.836910247802734,6321700,0.4699974060058594,0.008711721952907148
19,2016-07-07,1,0.0021668611435239206,-0.3500175008750437,SO,54.31999969482422,54.31999969482422,53.5,53.65999984741211,41.38191986083984,5507900,-0.09999847412109375,-0.0018375317435816996
20,2016-07-12,2,0.003333722287047841,0.5385029617662898,SO,53.5,53.63999938964844,52.77999877929688,52.84000015258789,40.749542236328125,6030600,-0.6800003051757812,-0.012518415114066594
21,2016-07-13,1,0.0021668611435239206,-0.3500175008750437,SO,53.09999847412109,53.18999862670898,52.83000183105469,53.130001068115234,40.973182678222656,4883300,-0.45000076293946023,-0.008389276063755946
22,2016-07-14,2,0.003333722287047841,0.5385029617662898,SO,53.31999969482422,53.70000076293945,53.04999923706055,53.61000061035156,41.343353271484375,8252100,0.5100021362304759,0.009588308881331331
