,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-09,1,0.021527859237536657,0.0,JAN,7.199999809265137,7.849999904632568,6.25,6.449999809265137,6.449999809265137,7420,,
1,2016-05-19,4,0.03032551319648094,0.408663669799755,JAN,6.099999904632568,6.449999809265137,6.050000190734863,6.099999904632568,6.099999904632568,1320,-1.4000000953674316,-0.17834396335995384
2,2016-05-23,7,0.03912316715542522,0.2901073397156948,JAN,5.900000095367432,6.25,5.900000095367432,6.150000095367432,6.150000095367432,1080,-0.19999980926513672,-0.031007723283626443
3,2016-06-15,3,0.027392961876832846,0.27244244653316985,JAN,6.699999809265137,6.75,6.099999904632568,6.099999904632568,6.099999904632568,2080,0.5,0.08000000000000007
4,2016-06-20,1,0.021527859237536657,-0.2141098383470721,JAN,6.199999809265137,6.599999904632568,6.099999904632568,6.150000095367432,6.150000095367432,2000,-0.15000009536743164,-0.022222236350730618
5,2016-06-29,27,0.0977741935483871,3.5417518049312084,JAN,6.050000190734863,6.050000190734863,5.800000190734863,5.800000190734863,5.800000190734863,220,-0.5499997138977051,-0.08333329118863442
6,2016-07-12,1,0.021527859237536657,-0.7798206412525119,JAN,5.849999904632568,6.300000190734863,5.849999904632568,6.099999904632568,6.099999904632568,3600,0.25,0.04132231274684206
7,2016-07-27,1,0.021527859237536657,0.0,JAN,6.699999809265137,7.550000190734863,6.650000095367432,7.550000190734863,7.550000190734863,2260,1.25,0.1984126924056797
8,2016-08-08,1,0.021527859237536657,0.0,JAN,7.550000190734863,8.25,7.25,7.400000095367432,7.400000095367432,18880,0.6999998092651367,0.09271520418292911
9,2016-08-11,1,0.021527859237536657,0.0,JAN,7.300000190734863,7.300000190734863,7.0,7.050000190734863,7.050000190734863,1620,-0.9499998092651367,-0.11515149203213781
10,2016-08-23,1,0.021527859237536657,0.0,JAN,5.099999904632568,5.300000190734863,5.050000190734863,5.050000190734863,5.050000190734863,5760,-2.0,-0.2739725955813527
11,2016-08-25,8,0.04205571847507331,0.9535485628660945,JAN,5.050000190734863,5.300000190734863,5.050000190734863,5.25,5.25,1040,0.0,0.0
12,2016-09-28,4,0.03032551319648094,-0.4653327128897161,JAN,4.900000095367432,4.900000095367432,4.75,4.75,4.75,420,-0.40000009536743164,-0.07547171339100844
13,2016-10-24,1,0.021527859237536657,-0.2901073397156949,JAN,5.0,5.0,4.5,4.5,4.5,900,0.09999990463256836,0.020408143405366452
14,2016-10-26,1,0.021527859237536657,0.0,JAN,4.599999904632568,4.900000095367432,4.599999904632568,4.650000095367432,4.650000095367432,280,-0.09999990463256836,-0.019999980926513672
15,2016-11-21,2,0.02446041055718475,0.13622122326658492,JAN,5.699999809265137,5.699999809265137,5.0,5.5,5.5,7520,0.7999997138977051,0.16326524455663627
16,2016-11-28,1,0.021527859237536657,-0.1198897014746434,JAN,5.650000095367432,6.5,5.300000190734863,5.400000095367432,5.400000095367432,87720,0.8000001907348633,0.14035091535169752
17,2016-11-29,10,0.0479208211143695,1.2259910093992645,JAN,5.25,5.550000190734863,5.099999904632568,5.099999904632568,5.099999904632568,14060,-0.9499998092651367,-0.14615381681002104
18,2016-12-02,1,0.021527859237536657,-0.5507618872774004,JAN,5.150000095367432,5.599999904632568,5.150000095367432,5.199999809265137,5.199999809265137,6880,0.04999971389770508,0.00900895714943828
19,2016-12-06,12,0.05378592375366569,1.4984334559324344,JAN,5.349999904632568,5.849999904632568,5.300000190734863,5.650000095367432,5.650000095367432,22500,0.25,0.04464285790312039
20,2016-12-08,5,0.03325806451612903,-0.3816585791396325,JAN,5.449999809265137,5.599999904632568,5.449999809265137,5.449999809265137,5.449999809265137,4400,-0.25,-0.04273504343171475
21,2016-12-14,1,0.021527859237536657,0.0,JAN,5.349999904632568,5.5,5.050000190734863,5.050000190734863,5.050000190734863,9000,-0.09999990463256836,-0.017857126131349377
22,2016-12-20,4,0.03032551319648094,0.408663669799755,JAN,5.050000190734863,5.400000095367432,5.050000190734863,5.150000095367432,5.150000095367432,3260,-0.09999990463256836,-0.018181800842285156
23,2016-12-22,2,0.02446041055718475,-0.1934048931437966,JAN,5.25,5.300000190734863,5.0,5.300000190734863,5.300000190734863,3940,-0.09999990463256836,-0.018518500530834592
24,2016-12-23,1,0.021527859237536657,-0.1198897014746434,JAN,5.25,5.300000190734863,5.0,5.0,5.0,2920,0.0,0.0
25,2016-12-29,4,0.03032551319648094,0.408663669799755,JAN,5.199999809265137,5.599999904632568,5.099999904632568,5.25,5.25,8120,0.2999997138977051,0.056603717566302336
26,2016-12-30,2,0.02446041055718475,-0.1934048931437966,JAN,5.25,5.599999904632568,5.050000190734863,5.599999904632568,5.599999904632568,16860,0.0,0.0
27,2017-01-03,12,0.05378592375366569,1.1988970147464335,JAN,5.5,6.0,5.449999809265137,5.550000190734863,5.550000190734863,19340,0.40000009536743164,0.07142858967489163
28,2017-01-04,1,0.021527859237536657,-0.5997491957908512,JAN,5.650000095367432,5.949999809265137,5.349999904632568,5.599999904632568,5.599999904632568,2000,-0.05000019073486328,-0.008333365122477177
29,2017-01-05,1,0.021527859237536657,0.0,JAN,5.650000095367432,5.650000095367432,5.400000095367432,5.5,5.5,720,-0.2999997138977051,-0.05042012159908904
30,2017-01-09,5,0.03325806451612903,-0.9485297788427937,JAN,5.300000190734863,5.5,5.150000095367432,5.349999904632568,5.349999904632568,9020,-0.15000009536743164,-0.02654868899744267
31,2017-01-10,1,0.021527859237536657,-0.3527025835464245,JAN,5.349999904632568,5.849999904632568,5.349999904632568,5.449999809265137,5.449999809265137,12760,0.34999990463256836,0.06363634629683057
32,2017-01-11,2,0.02446041055718475,0.13622122326658492,JAN,5.400000095367432,5.699999809265137,5.400000095367432,5.599999904632568,5.599999904632568,2080,-0.15000009536743164,-0.025641042361154165
33,2017-01-12,1,0.021527859237536657,-0.1198897014746434,JAN,5.75,5.75,5.099999904632568,5.449999809265137,5.449999809265137,9900,0.05000019073486328,0.008771963580347819
34,2017-01-13,3,0.027392961876832846,0.27244244653316985,JAN,5.599999904632568,5.949999809265137,5.25,5.75,5.75,13020,0.19999980926513672,0.034782575524371584
